n/d;n/d;n/d;n/d;n/d;n/d;n/d;n/d;n/d
14.11.2021;CM-0-42-JSLPDN-0002;BKE932SE06C_4___NIMS 06 x 4¿ËÌÛ2, 0,66 Í¬.;280;DR-CS-06C4-1206, L- 972 Ï.;0;”I;n/d;n/d
14.11.2021;CM-0-42-JSLPDN-0003;BKE932SE06C_4___NIMS 0·ı4ÏÏ-, 0,66 Í¬.;280;DR-CS-06C4-1206, L- 972 Ï.;0;#»Ãﬂ?;n/d;n/d
15.11.2021;CM-0-42-JSLPDN-0004;BKE932SE06C_4___NIMS 06 x 4ÏÏ-, 0,66 Í¬.;280;DR-CS-06C4-1207, L- 974 Ï.;0;1;n/d;n/d
15.11.2021;CM-0-42-JSLPDN-2001;BKE932SE06C_4___NIMS 06 ı4ÏÏ-, 0,66 Í¬.;280;DR-CS-06C4-1207, L- 974 Ï.;0;1;n/d;n/d
15.11.2021;CM-0-42-JSLPDN-2002;BKE932SE06C_4___NIMS 06 x 4Ï¿t, 0,66 Í¬.;280;DR-CS-06C4-1207, L- 974 Ï.;0;1;n/d;n/d
15.11.2021;—Ã-0-42-À5≈–ŒÃ-2003;BKET1ISE02C_4___GNM Z 02 x 4ÏÏ2, 1 ÍB.;280;DR-CS-06C4-1208, L- 972 Ï.;0;1;n/d;n/d
15.11.2021;CM-0-42-JSLPDN-2004;BKETI1SE02C_4___GNM Z 02 x 4ÏÏ2, 1 ÍB.;280;DR-CS-06C4-1208, L- 972 Ï.;0;1;n/d;n/d
16.11.2021;CM-0-42-JSLPDN-2005;BKET11SE02C_4___GNM Z 02 x 4ÏÏ2, I ÍB.;280;DR-CS-06C4-1208, L- 972 Ï.;0;1;n/d;n/d
16.11.2021;CM-0-42-JSLPDN-2006;BKET11SE02C_4___GNM Z 02 x 4ÏÌÏ2, I ÍB.;280;DR-CS-06C4-1209, L- 977 Ï.;0;1;n/d;n/d
16.11.2021;CM-0-42-JSLPDN-2007;BKET11SE02C_4___GNM Z 02 x 4ÏÏ32, 1 ÍB.;280;DR-CS-06C4-1209, L- 977 Ï.;0;1;n/d;n/d
16.11.2021;CM-0-42-JSLPDN-2008;BKETI1SE02C_4___GNM Z 02 x 4Ï¿i, 1 Í¬.;280;DR-CS-06C4-1209, L- 977 Ï.;0;1;n/d;n/d
16.11.2021;CM-0-42-JSLPDN-2009;BKET11SE02C_4___GNM Z 02 ı4ÏÏ2, 1 ÍB.;280;DR-CS-06C4-1210, L- 609 Ï.;0;1;n/d;n/d
17.11.2021;CM-0-42-JSLPDN-2010;BKET11SE02C_4___GNM Z 02 x 4ÏÏ2, I ÍB.;280;DR-CS-06C4-1210, L- 609 Ï.;0;-4;n/d;n/d
17.11.2021;CM-0-42-JSLPDN-201 1;BKET11SE02C_4___GNM Z 02 x 4ÏÏ, 1 Í¬.;280;DR-CS-06C4-1215, L- 350 Ï.;0;-4;n/d;n/d
17.11.2021;CM-0-42-JSLPDN-2012;BKET11SE02C_4___GNM Z 02 x 4ÏÏ2, 1 Í¬.;280;DR-CS-06C4-1211, L- 536 Ï.;0;-4;n/d;n/d
17.11.2021;CM-0-42-J/SLPDN-2013;BKET11SE02C_4___GNM Z 02 x 4ÏÏ2, I ÍB.;280;DR-CS-06C4-1216, L- 300 Ï.;0;-4;n/d;n/d
17.11.2021;—Ã-0-42-À5≈–‹Ã-2014;BKETII1SE02C_4___GNM Z 02 x 4Ï¿È, 1 Í¬.;280;DR-CS-06C4-1212, L- 670 Ï.;0;-4;n/d;n/d
18.11.2021;CM-0-42-JSLPDN-2015;BKET11SE02C_4___GNM Z 02 ı4ÏÏ-, I Í¬.;280;DR-CS-06C4-1212, L- 670 Ï.;0;-2;n/d;n/d
18.11.2021;CM-0-42-JECMN-0001.03;BKE011SE02C_2.5_GNLZ 02 x 2.5ÏÏi, 0,6/1 Í¬.;255;DR-CS-06P1-6402, E4-5T5 ¿;0;=;n/d;n/d
18.11.2021;CM-0-42-JECMN-0001.04;BKE011SE02C_2.5_GNLZ 02 x 2.5ÏÏ2, 0,6/1 Í¬.;240;DR-CS-06P1-6402, L- 515 Ï.;0;524;n/d;n/d
18.11.2021;0-42-JSCMN-0001- WP01.L3;BKE011SE02C_2.5_GNLZ 02 x 2.5ÏÏ-, 0,6/1 Í¬.;35;DR-LV-02C4-3211, L- 515 Ï.;0;-2;n/d;n/d
18.11.2021;0-42-JSCMN-0001- WP02.L3;BKE011SE02C_2.5_GNLZ 02 x 2.5Ï¿Û, 0,6/1 Í¬.;35;"DR-LV-02C4-3211, = 5I 59;";0;#»Ãﬂ?;n/d;n/d
18.11.2021;Â‡ 20342;BKE011SE02C_2.5_GNLZ %03ı 2.5ÏÏ2, 0,6/1 Í¬.;35;DR-LV-02C4-3211, L- 515 Ï.;0;57;n/d;n/d
